"country","year","kWh","continent"
"Andorra",1962,,"Europe"
"Angola",1962,,"Africa"
"Anguilla",1962,,"Americas"
"Antigua and Barbuda",1962,,"Americas"
"Argentina",1962,,"Americas"
"Armenia",1962,,"Asia"
"Aruba",1962,,"Americas"
"Australia",1962,21529655691.6775,"Oceania"
"Austria",1962,14297099223.211,"Europe"
"Azerbaijan",1962,,"Asia"
"Bahamas",1962,,"Americas"
"Bahrain",1962,,"Asia"
"Bangladesh",1962,,"Asia"
"Barbados",1962,,"Americas"
"Belarus",1962,,"Europe"
"Belgium",1962,16254545330.5639,"Europe"
"Belize",1962,,"Americas"
"Benin",1962,,"Africa"
"Bermuda",1962,,"Americas"
"Bhutan",1962,,"Asia"
"Bolivia",1962,,"Americas"
"Bosnia and Herzegovina",1962,,"Europe"
"Botswana",1962,,"Africa"
"Brazil",1962,,"Americas"
"British Virgin Islands",1962,,"Americas"
"Brunei",1962,,"Asia"
"Bulgaria",1962,,"Europe"
"Burkina Faso",1962,,"Africa"
"Burundi",1962,,"Africa"
"Cambodia",1962,,"Asia"
"Cameroon",1962,,"Africa"
"Canada",1962,107894200105.942,"Americas"
"Cape Verde",1962,,"Africa"
"Cayman Islands",1962,,"Americas"
"Central African Republic",1962,,"Africa"
"Chad",1962,,"Africa"
"Channel Islands",1962,,
"Chile",1962,,"Americas"
"China",1962,,"Asia"
"Christmas Island",1962,,"Oceania"
"Cocos Island",1962,,
"Colombia",1962,,"Americas"
"Comoros",1962,,"Africa"
"Congo, Dem. Rep.",1962,,"Africa"
"Congo, Rep.",1962,,"Africa"
"Cook Is",1962,,"Oceania"
"Costa Rica",1962,,"Americas"
"Cote d'Ivoire",1962,,"Africa"
"Croatia",1962,,"Europe"
"Cuba",1962,,"Americas"
"Cyprus",1962,,"Asia"
"Czech Republic",1962,,"Europe"
"Czechoslovakia",1962,,
"Denmark",1962,6302583050.59656,"Europe"
"Djibouti",1962,,"Africa"
"Dominica",1962,,"Americas"
"Dominican Republic",1962,,"Americas"
"East Germany",1962,,
"Ecuador",1962,,"Americas"
"Egypt",1962,,"Africa"
"El Salvador",1962,,"Americas"
"Equatorial Guinea",1962,,"Africa"
"Eritrea",1962,,"Africa"
"Eritrea and Ethiopia",1962,,
"Estonia",1962,,"Europe"
"Ethiopia",1962,,"Africa"
"Faeroe Islands",1962,,"Europe"
"Falkland Is (Malvinas)",1962,,"Americas"
"Fiji",1962,,"Oceania"
"Finland",1962,10737742350.287,"Europe"
"France",1962,77593166198.9913,"Europe"
"French Guiana",1962,,"Americas"
"French Polynesia",1962,,"Oceania"
"Gabon",1962,,"Africa"
"Gambia",1962,,"Africa"
"Georgia",1962,,"Asia"
"Germany",1962,132633917164.133,"Europe"
"Ghana",1962,,"Africa"
"Gibraltar",1962,,"Europe"
"Greece",1962,2574767459.65695,"Europe"
"Greenland",1962,,"Americas"
"Grenada",1962,,"Americas"
"Guadeloupe",1962,,"Americas"
"Guam",1962,,"Oceania"
"Guatemala",1962,,"Americas"
"Guernsey",1962,,"Europe"
"Guinea",1962,,"Africa"
"Guinea-Bissau",1962,,"Africa"
"Guyana",1962,,"Americas"
"Haiti",1962,,"Americas"
"Holy See",1962,,"Europe"
"Honduras",1962,,"Americas"
"Hong Kong, China",1962,,"Asia"
"Hungary",1962,,"Europe"
"Iceland",1962,529375165.864304,"Europe"
"India",1962,,"Asia"
"Indonesia",1962,,"Asia"
"Iran",1962,,"Asia"
"Iraq",1962,,"Asia"
"Ireland",1962,2376309374.65842,"Europe"
"Isle of Man",1962,,"Europe"
"Israel",1962,,"Asia"
"Italy",1962,57461043549.1736,"Europe"
"Jamaica",1962,,"Americas"
"Japan",1962,124233281952.792,"Asia"
"Jersey",1962,,"Europe"
"Jordan",1962,,"Asia"
"Kazakhstan",1962,,"Asia"
"Kenya",1962,,"Africa"
"Kiribati",1962,,"Oceania"
"North Korea",1962,,"Asia"
"South Korea",1962,,"Asia"
"United Korea (former)
",1962,,"Asia"
"Kosovo",1962,,
"Kuwait",1962,,"Asia"
"Kyrgyz Republic",1962,,"Asia"
"Lao",1962,,"Asia"
"Latvia",1962,,"Europe"
"Lebanon",1962,,"Asia"
"Lesotho",1962,,"Africa"
"Liberia",1962,,"Africa"
"Libya",1962,,"Africa"
"Liechtenstein",1962,,"Europe"
"Lithuania",1962,,"Europe"
"Luxembourg",1962,1635232823.07093,"Europe"
"Macao, China",1962,,"Asia"
"Macedonia, FYR",1962,,"Europe"
"Madagascar",1962,,"Africa"
"Malawi",1962,,"Africa"
"Malaysia",1962,,"Asia"
"Maldives",1962,,"Asia"
"Mali",1962,,"Africa"
"Malta",1962,,"Europe"
"Marshall Islands",1962,,"Oceania"
"Martinique",1962,,"Americas"
"Mauritania",1962,,"Africa"
"Mauritius",1962,,"Africa"
"Mayotte",1962,,"Africa"
"Mexico",1962,,"Americas"
"Micronesia, Fed. Sts.",1962,,"Oceania"
"Moldova",1962,,"Europe"
"Monaco",1962,,"Europe"
"Mongolia",1962,,"Asia"
"Montenegro",1962,,"Europe"
"Montserrat",1962,,"Americas"
"Morocco",1962,,"Africa"
"Mozambique",1962,,"Africa"
"Myanmar",1962,,"Asia"
"Namibia",1962,,"Africa"
"Nauru",1962,,"Oceania"
"Nepal",1962,,"Asia"
"Netherlands",1962,17936800515.8361,"Europe"
"Netherlands Antilles",1962,,"Americas"
"New Caledonia",1962,,"Oceania"
"New Zealand",1962,6817140777.59871,"Oceania"
"Ngorno-Karabakh",1962,,
"Nicaragua",1962,,"Americas"
"Niger",1962,,"Africa"
"Nigeria",1962,,"Africa"
"Niue",1962,,"Oceania"
"Norfolk Island",1962,,"Oceania"
"Northern Cyprus",1962,,"Asia"
"Northern Mariana Islands",1962,,"Oceania"
"Norway",1962,34161843517.7709,"Europe"
"Oman",1962,,"Asia"
"Pakistan",1962,,"Asia"
"Palau",1962,,"Oceania"
"Panama",1962,,"Americas"
"Papua New Guinea",1962,,"Oceania"
"Paraguay",1962,,"Americas"
"Peru",1962,,"Americas"
"Philippines",1962,,"Asia"
"Pitcairn",1962,,"Oceania"
"Poland",1962,31729286328.3567,"Europe"
"Portugal",1962,3384219841.37176,"Europe"
"Puerto Rico",1962,,"Americas"
"Qatar",1962,,"Asia"
"Reunion",1962,,"Africa"
"Romania",1962,,"Europe"
"Russia",1962,,"Europe"
"Rwanda",1962,,"Africa"
"St. Barthélemy",1962,,"Americas"
"St. Helena",1962,,"Africa"
"St. Kitts and Nevis",1962,,"Americas"
"St. Lucia",1962,,"Americas"
"St. Martin",1962,,
"St. Vincent and the Grenadines",1962,,"Americas"
"St.-Pierre-et-Miquelon",1962,,"Americas"
"Samoa",1962,,"Oceania"
"San Marino",1962,,"Europe"
"Sao Tome and Principe",1962,,"Africa"
"Saudi Arabia",1962,,"Asia"
"Senegal",1962,,"Africa"
"Serbia",1962,,"Europe"
"Serbia and Montenegro",1962,,
"Serbia excluding Kosovo",1962,,"Europe"
"Seychelles",1962,,"Africa"
"Sierra Leone",1962,,"Africa"
"Singapore",1962,,"Asia"
"Slovak Republic",1962,,"Europe"
"Slovenia",1962,,"Europe"
"Solomon Islands",1962,,"Oceania"
"Somalia",1962,,"Africa"
"Somaliland",1962,,"Africa"
"South Africa",1962,,"Africa"
"South Ossetia",1962,,
"Spain",1962,19052165635.4117,"Europe"
"Sri Lanka",1962,,"Asia"
"Sudan",1962,,"Africa"
"Suriname",1962,,"Americas"
"Svalbard",1962,,"Europe"
"Swaziland",1962,,"Africa"
"Sweden",1962,34944220087.6324,"Europe"
"Switzerland",1962,18038589362.0438,"Europe"
"Syria",1962,,"Asia"
"Taiwan",1962,,"Asia"
"Tajikistan",1962,,"Asia"
"Tanzania",1962,,"Africa"
"Thailand",1962,,"Asia"
"Timor-Leste",1962,,"Asia"
"Togo",1962,,"Africa"
"Tokelau",1962,,"Oceania"
"Tonga",1962,,"Oceania"
"Transnistria",1962,,
"Trinidad and Tobago",1962,,"Americas"
"Tunisia",1962,,"Africa"
"Turkey",1962,3.231e+09,"Asia"
"Turkmenistan",1962,,"Asia"
"Turks and Caicos Islands",1962,,"Americas"
"Tuvalu",1962,,"Oceania"
"Uganda",1962,,"Africa"
